Scheduler,Partitions,Parallelism,Shuffle Partitions,Iteration,Time,CPU
FIFO,1,1,1,1,29.9249370098114,-1.8999999999999986
FIFO,1,1,1,2,27.095280170440674,6.200000000000003
FIFO,1,1,1,3,27.4656240940094,1.1000000000000014
FIFO,1,1,1,4,28.358477115631104,3.8999999999999986
FIFO,1,1,1,5,27.40511727333069,4.599999999999994
FIFO,1,1,1,6,27.409878969192505,9.799999999999997
FIFO,1,1,1,7,27.707141876220703,8.800000000000004
FIFO,1,1,1,8,27.507328033447266,0.29999999999999716
FIFO,1,1,1,9,27.157028198242188,13.0
FIFO,1,1,1,10,26.989768266677856,12.5
FAIR,1,1,1,1,27.238009929656982,8.5
FAIR,1,1,1,2,26.807469129562378,10.299999999999997
FAIR,1,1,1,3,26.094593048095703,12.199999999999996
FAIR,1,1,1,4,25.921827793121338,11.899999999999999
FAIR,1,1,1,5,26.655412912368774,13.300000000000004
FAIR,1,1,1,6,27.631301164627075,16.6
FAIR,1,1,1,7,27.75708293914795,9.899999999999999
FAIR,1,1,1,8,27.372589111328125,7.100000000000001
FAIR,1,1,1,9,26.308847188949585,10.599999999999994
FAIR,1,1,1,10,26.360838174819946,11.100000000000001
FIFO,1,1,26,1,26.017029762268066,12.400000000000006
FIFO,1,1,26,2,26.01256489753723,10.5
FIFO,1,1,26,3,26.721561193466187,10.700000000000003
FIFO,1,1,26,4,26.3419930934906,11.300000000000004
FIFO,1,1,26,5,26.624720096588135,10.599999999999994
FIFO,1,1,26,6,26.4453341960907,11.799999999999997
FIFO,1,1,26,7,27.331573009490967,13.299999999999997
FIFO,1,1,26,8,26.97713828086853,10.299999999999997
FIFO,1,1,26,9,26.58667802810669,11.700000000000003
FIFO,1,1,26,10,26.29065489768982,11.199999999999996
FAIR,1,1,26,1,26.788509130477905,12.0
FAIR,1,1,26,2,26.737668752670288,11.799999999999997
FAIR,1,1,26,3,26.304539918899536,9.5
FAIR,1,1,26,4,26.04279136657715,11.299999999999997
FAIR,1,1,26,5,26.57408905029297,10.600000000000001
FAIR,1,1,26,6,26.39752984046936,11.300000000000004
FAIR,1,1,26,7,26.3857638835907,11.799999999999997
FAIR,1,1,26,8,26.13450813293457,11.299999999999997
FAIR,1,1,26,9,26.787179708480835,12.100000000000001
FAIR,1,1,26,10,26.80638313293457,10.700000000000003
FIFO,1,1,51,1,27.21481704711914,8.899999999999999
FIFO,1,1,51,2,26.95443081855774,11.5
FIFO,1,1,51,3,26.65247917175293,11.0
FIFO,1,1,51,4,27.095540046691895,12.300000000000004
FIFO,1,1,51,5,26.311850786209106,12.200000000000003
FIFO,1,1,51,6,26.594526052474976,11.300000000000004
FIFO,1,1,51,7,26.251490831375122,12.0
FIFO,1,1,51,8,26.684456825256348,12.299999999999997
FIFO,1,1,51,9,26.74818515777588,11.300000000000004
FIFO,1,1,51,10,26.716317176818848,11.600000000000001
FAIR,1,1,51,1,26.18066716194153,11.300000000000004
FAIR,1,1,51,2,26.688413858413696,10.800000000000004
FAIR,1,1,51,3,26.209736108779907,10.299999999999997
FAIR,1,1,51,4,26.557626962661743,11.799999999999997
FAIR,1,1,51,5,26.371587991714478,9.699999999999996
FAIR,1,1,51,6,26.806982040405273,12.600000000000001
FAIR,1,1,51,7,26.858720064163208,7.5
FAIR,1,1,51,8,27.13158893585205,11.800000000000004
FAIR,1,1,51,9,27.27874207496643,10.600000000000001
FAIR,1,1,51,10,26.744168996810913,12.799999999999997
FIFO,1,1,76,1,26.604761123657227,13.699999999999996
FIFO,1,1,76,2,26.90183925628662,12.5
FIFO,1,1,76,3,26.771090984344482,8.800000000000004
FIFO,1,1,76,4,26.6913959980011,7.900000000000006
FIFO,1,1,76,5,26.795469999313354,10.5
FIFO,1,1,76,6,26.07982110977173,12.900000000000002
FIFO,1,1,76,7,26.80912208557129,11.200000000000003
FIFO,1,1,76,8,26.248647928237915,11.899999999999999
FIFO,1,1,76,9,26.289826154708862,12.200000000000003
FIFO,1,1,76,10,26.738255977630615,12.0
FAIR,1,1,76,1,26.59871482849121,10.600000000000001
FAIR,1,1,76,2,26.319902896881104,11.299999999999997
FAIR,1,1,76,3,26.283095121383667,12.199999999999996
FAIR,1,1,76,4,26.500081062316895,10.300000000000004
FAIR,1,1,76,5,26.217363119125366,12.0
FAIR,1,1,76,6,26.46225094795227,12.5
FAIR,1,1,76,7,26.713031768798828,11.100000000000001
FAIR,1,1,76,8,26.469892024993896,11.699999999999996
FAIR,1,1,76,9,26.593799829483032,7.300000000000004
FAIR,1,1,76,10,26.717512845993042,9.0
FIFO,1,1,101,1,26.79676079750061,11.200000000000003
FIFO,1,1,101,2,27.25836181640625,15.0
FIFO,1,1,101,3,26.906008005142212,10.400000000000006
FIFO,1,1,101,4,26.680917024612427,9.0
FIFO,1,1,101,5,26.53465986251831,11.099999999999994
FIFO,1,1,101,6,26.38332223892212,12.299999999999997
FIFO,1,1,101,7,26.250736951828003,11.0
FIFO,1,1,101,8,26.730183839797974,11.5
FIFO,1,1,101,9,26.49129605293274,11.400000000000006
FIFO,1,1,101,10,26.316229820251465,11.700000000000003
FAIR,1,1,101,1,26.588655710220337,11.899999999999999
FAIR,1,1,101,2,26.635425090789795,11.100000000000001
FAIR,1,1,101,3,26.82508111000061,14.0
FAIR,1,1,101,4,26.94504714012146,11.199999999999996
FAIR,1,1,101,5,26.73424196243286,10.899999999999999
FAIR,1,1,101,6,26.648127794265747,10.899999999999999
FAIR,1,1,101,7,26.734848022460938,11.699999999999996
FAIR,1,1,101,8,26.334797859191895,12.399999999999999
FAIR,1,1,101,9,26.64371418952942,11.800000000000004
FAIR,1,1,101,10,26.7479350566864,11.299999999999997
FIFO,1,1,126,1,26.74553894996643,11.0
FIFO,1,1,126,2,26.448127031326294,13.0
FIFO,1,1,126,3,26.619304895401,13.100000000000001
FIFO,1,1,126,4,26.983031034469604,11.0
FIFO,1,1,126,5,26.746966123580933,12.0
FIFO,1,1,126,6,26.5630099773407,9.799999999999997
FIFO,1,1,126,7,26.393220901489258,9.700000000000003
FIFO,1,1,126,8,28.548492908477783,19.700000000000003
FIFO,1,1,126,9,28.134482860565186,15.100000000000001
FIFO,1,1,126,10,27.561023950576782,1.1000000000000014
FAIR,1,1,126,1,27.01590609550476,9.700000000000003
FAIR,1,1,126,2,26.523834943771362,11.899999999999999
FAIR,1,1,126,3,26.76517391204834,10.899999999999999
FAIR,1,1,126,4,26.896605014801025,10.799999999999997
FAIR,1,1,126,5,26.528861045837402,11.300000000000004
FAIR,1,1,126,6,26.894355058670044,11.0
FAIR,1,1,126,7,26.782557010650635,11.099999999999994
FAIR,1,1,126,8,26.629289865493774,11.899999999999999
FAIR,1,1,126,9,26.673970937728882,10.900000000000006
FAIR,1,1,126,10,27.477176189422607,14.0
FIFO,1,26,1,1,27.986434936523438,12.700000000000003
FIFO,1,26,1,2,26.31019687652588,11.299999999999997
FIFO,1,26,1,3,27.63706398010254,13.899999999999999
FIFO,1,26,1,4,26.895275115966797,12.5
FIFO,1,26,1,5,26.55267882347107,13.0
FIFO,1,26,1,6,26.48644995689392,11.199999999999996
FIFO,1,26,1,7,26.243183851242065,11.800000000000004
FIFO,1,26,1,8,26.594305992126465,12.5
FIFO,1,26,1,9,27.705561876296997,11.900000000000006
FIFO,1,26,1,10,27.537819862365723,13.0
FAIR,1,26,1,1,27.97742486000061,9.5
